EventNameEnglish,EventNameFrench,IsGeneralElection,ElectoralDistrictNumber,ElectoralDistrictNameEnglish,ElectoralDistrictNameFrench,ReturningOfficerName,ReturningOfficeCity,PollingDate,ResignedMPPName,NameOfCandidates,PoliticalInterestCode,TotalValidBallotsCast,PercentOfTotalValidBallotsCast,Plurality,IsMemberOfPreviousLegislature
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,022,Don Valley West,Don Valley-Ouest,NASIR ADDETIA,TORONTO,2022-Jun-02,Kathleen Wynne,JOHN KITTREDGE,LTN,225,0.00612078346028291,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,091,Sarnia—Lambton,Sarnia—Lambton,RYAN WILLIAMS,SARNIA,2022-Jun-02,Bob Bailey,CARLA OLSON,PPR,972,0.02419053781638087,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,087,Pickering—Uxbridge,Pickering—Uxbridge,SANDI SULLIVAN,PICKERING,2022-Jun-02,Peter Bethlenfalvy,HASAN SYED,CEN,76,0.00175795706883789,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,017,Carleton,Carleton,JUDY COSBY,OTTAWA,2022-Jun-02,Goldie Ghamari,CODY ZULINSKI,GPO,2537,0.05478771649462272,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,087,Pickering—Uxbridge,Pickering—Uxbridge,SANDI SULLIVAN,PICKERING,2022-Jun-02,Peter Bethlenfalvy,IBRAHIM DANIYAL,LIB,12345,0.28555236861584011,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,075,Oakville North—Burlington,Oakville-Nord—Burlington,PAM CALLEJA,BURLINGTON,2022-Jun-02,Effie Triantafilopoulos,JILL SERVICE,ONP,446,0.00947021976855292,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,031,Flamborough—Glanbrook,Flamborough—Glanbrook,SUSAN CURTIS,HAMILTON,2022-Jun-02,Donna Skelly,ALLISON CILLIS,NDP,9995,0.22741234556665377,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,047,Kitchener Centre,Kitchener-Centre,CATHY MCINNES,KITCHENER,2022-Jun-02,Laura Mae Lindo,KELLY STEISS,LIB,5728,0.14724178705465014,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,106,Thunder Bay—Superior North,Thunder Bay—Supérieur-Nord,JULIO GOMES,THUNDER BAY,2022-Jun-02,Michael Gravelle,TRACEY ALLISON MACKINNON,GPO,738,0.02995859381342859,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,117,Willowdale,Willowdale,MAY LYNNE FONG,TORONTO,2022-Jun-02,Stan Cho,JAIME RODRIGUEZ,PPR,28,0.00088655289237881,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,026,Elgin—Middlesex—London,Elgin—Middlesex—London,CARRIE WOOLLEY,ST. THOMAS,2022-Jun-02,Jeff Yurek,MATT MILLAR,NBO,2238,0.05110639172432691,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,051,Lanark—Frontenac—Kingston,Lanark—Frontenac—Kingston,CHERYL BIRD,SMITHS FALLS,2022-Jun-02,Randy Hillier,THOMAS MULDER,ONP,1663,0.03763720719701256,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,052,Leeds—Grenville—Thousand Islands and Rideau Lakes,Leeds—Grenville—Thousand Islands et Rideau Lakes,BARBARA MILLS,BROCKVILLE,2022-Jun-02,Steve Clark,DANIEL KITSCH,NBO,944,0.02208497099008047,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,098,Scarborough Southwest,Scarborough-Sud-Ouest,EDDY GASPAROTTO,TORONTO,2022-Jun-02,Doly Begum,LISA PATEL,LIB,6556,0.18558568759553869,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,066,Nepean,Nepean,NORMAN POWROZ,OTTAWA,2022-Jun-02,Lisa MacLeod,KAITLYN TREMBLAY,GPO,1696,0.03888392140679093,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,057,Markham—Thornhill,Markham—Thornhill,NINA BABIRAD,MARKHAM,2022-Jun-02,Logan Kanapathi,LOGAN KANAPATHI,PCP,14011,0.48820516394299452,3248,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,093,Scarborough—Agincourt,Scarborough—Agincourt,LYNDA ROBINSON,TORONTO,2022-Jun-02,Aris Babikian,DONNY MORGAN,ONP,492,0.01718117055454672,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,104,Thornhill,Thornhill,ANDREA PRONMAN,VAUGHAN,2022-Jun-02,Gila Martow,BRANDON YING,IND,100,0.00289670355135855,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,035,Haliburton—Kawartha Lakes—Brock,Haliburton—Kawartha Lakes—Brock,KIRK WILLIAMS,KAWARTHA LAKES,2022-Jun-02,Laurie Scott,TOM REGINA,GPO,3695,0.07552221722601479,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,063,Mississauga—Lakeshore,Mississauga—Lakeshore,MARIJKA STADNYK,MISSISSAUGA,2022-Jun-02,Rudy Cuzzetto,BRIAN CROMBIE,NAP,459,0.01070179529027745,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,088,Renfrew—Nipissing—Pembroke,Renfrew—Nipissing—Pembroke,LEWIS MACDONALD,PEMBROKE,2022-Jun-02,John Yakabuski,THOMAS O'CONNOR,NBO,1868,0.04648153677714740,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,056,Markham—Stouffville,Markham—Stouffville,LINDA JANKOWSKI,MARKHAM,2022-Jun-02,Paul Calandra,MYLES O'BRIEN,GPO,1723,0.03940717700066326,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,094,Scarborough Centre,Scarborough-Centre,GERALD HENDERSON,TORONTO,2022-Jun-02,Christina Mitas,MARIA TZVETANOVA,MOD,74,0.00232200571087891,0,0
