"","district","party","votes","votes_pct","province"
"128","Maple Ridge-Pitt Meadows","NDP(BC)",15877,63.4065495207668,"BC"
"129","Mid Island-Pacific Rim","BCG",4991,20.321661237785,"BC"
"130","Mid Island-Pacific Rim","BCU",4291,17.4714983713355,"BC"
"131","Mid Island-Pacific Rim","NDP(BC)",14298,58.2166123778502,"BC"
"132","Mid Island-Pacific Rim",NA,610,2.48371335504886,"BC"
"133","Mid Island-Pacific Rim",NA,370,1.50651465798046,"BC"
"134","Nanaimo","BCG",6078,23.0883190883191,"BC"
"135","Nanaimo","BCU",5903,22.4235517568851,"BC"
"136","Nanaimo","NDP(BC)",14344,54.4881291547958,"BC"
"137","Nanaimo-North Cowichan","BCG",7700,29.7976084516853,"BC"
"138","Nanaimo-North Cowichan","BCU",5354,20.7190124221199,"BC"
"139","Nanaimo-North Cowichan","NDP(BC)",12787,49.4833791261948,"BC"
"140","Nechako Lakes","BCU",4611,52.2433718558803,"BC"
"141","Nechako Lakes","NDP(BC)",3031,34.3417176523907,"BC"
"142","Nechako Lakes",NA,413,4.67935644686155,"BC"
"143","Nechako Lakes",NA,368,4.16949920688874,"BC"
"144","Nechako Lakes",NA,403,4.5660548379787,"BC"
"145","Nelson-Creston","BCG",5611,32.1326308555721,"BC"
"146","Nelson-Creston","BCU",4171,23.8861527889131,"BC"
"147","Nelson-Creston","NDP(BC)",7296,41.7821555377391,"BC"
"148","Nelson-Creston",NA,384,2.19906081777574,"BC"
"149","New Westminster","BCG",5020,19.0187535518091,"BC"
"150","New Westminster","BCU",4291,16.2568668308392,"BC"
"151","New Westminster","NDP(BC)",15903,60.2500473574541,"BC"
"152","New Westminster","BCC",912,3.45519984845615,"BC"
"153","New Westminster",NA,269,1.01913241144156,"BC"
"154","North Coast","BCU",1429,22.900641025641,"BC"
"155","North Coast","NDP(BC)",4544,72.8205128205128,"BC"
"156","North Coast",NA,267,4.27884615384615,"BC"
"157","North Island","BCG",4731,19.2598925256473,"BC"
"158","North Island","BCU",5904,24.0351734245237,"BC"
"159","North Island","NDP(BC)",12467,50.7531346686207,"BC"
"160","North Island","BCC",1462,5.95179938120827,"BC"
"161","North Vancouver-Lonsdale","BCG",3369,12.7031409072056,"BC"
"162","North Vancouver-Lonsdale","BCU",7274,27.4273217450322,"BC"
"163","North Vancouver-Lonsdale","NDP(BC)",15878,59.8695373477621,"BC"
"164","North Vancouver-Seymour","BCG",4514,16.4008283980671,"BC"
"165","North Vancouver-Seymour","BCU",9827,35.7046833557388,"BC"
"166","North Vancouver-Seymour","NDP(BC)",12891,46.8371907132217,"BC"
"167","North Vancouver-Seymour",NA,291,1.05729753297242,"BC"
"168","Oak Bay-Gordon Head","BCG",7362,25.5190821172311,"BC"
"169","Oak Bay-Gordon Head","BCU",6597,22.8673437554161,"BC"
"170","Oak Bay-Gordon Head","NDP(BC)",14748,51.1213560262054,"BC"
"171","Oak Bay-Gordon Head",NA,142,0.492218101147353,"BC"
"172","Parksville-Qualicum","BCG",5227,16.6216173243871,"BC"
"173","Parksville-Qualicum","BCU",11155,35.4723821032213,"BC"
"174","Parksville-Qualicum","NDP(BC)",13207,41.9976468343562,"BC"
"175","Parksville-Qualicum","BCC",1404,4.46465481603969,"BC"
"176","Parksville-Qualicum",NA,454,1.44369892199574,"BC"
"177","Peace River North","BCU",6746,55.7612828566705,"BC"
"178","Peace River North","NDP(BC)",1202,9.93552653331129,"BC"
"179","Peace River North","BCC",4150,34.3031906100182,"BC"
"180","Peace River South","BCU",3862,51.1930010604454,"BC"
"181","Peace River South","NDP(BC)",1180,15.6415694591729,"BC"
"182","Peace River South","BCC",2303,30.5275715800636,"BC"
"183","Peace River South",NA,199,2.63785790031813,"BC"
"184","Penticton","BCG",3152,11.4914871121805,"BC"
"185","Penticton","BCU",13217,48.1862262568814,"BC"
"186","Penticton","NDP(BC)",10343,37.7082649750264,"BC"
"187","Penticton",NA,717,2.61402165591163,"BC"
"188","Port Coquitlam","BCG",3023,12.614229084081,"BC"
"189","Port Coquitlam","BCU",5009,20.9013144168579,"BC"
"190","Port Coquitlam","NDP(BC)",15370,64.1351971625287,"BC"
"191","Port Coquitlam",NA,563,2.34925933653244,"BC"
"192","Port Moody-Coquitlam","BCG",2802,11.7820200151375,"BC"
"193","Port Moody-Coquitlam","BCU",7253,30.4978555209823,"BC"
"194","Port Moody-Coquitlam","NDP(BC)",12783,53.7507358506433,"BC"
"195","Port Moody-Coquitlam","BCC",800,3.36388865528551,"BC"
"196","Port Moody-Coquitlam",NA,144,0.605499957951392,"BC"
"197","Powell River-Sunshine Coast","BCG",8104,32.4666479708345,"BC"
"198","Powell River-Sunshine Coast","BCU",4156,16.6499739593766,"BC"
"199","Powell River-Sunshine Coast","NDP(BC)",12701,50.8833780697889,"BC"
"200","Prince George-Mackenzie","BCG",1935,11.5055297895112,"BC"
"201","Prince George-Mackenzie","BCU",8543,50.7967653704364,"BC"
"202","Prince George-Mackenzie","NDP(BC)",5717,33.9933404685456,"BC"
"203","Prince George-Mackenzie",NA,336,1.99785943631823,"BC"
"204","Prince George-Mackenzie",NA,287,1.70650493518849,"BC"
"205","Prince George-Valemount","BCG",2597,14.8867870449986,"BC"
"206","Prince George-Valemount","BCU",9703,55.6205216394382,"BC"
"207","Prince George-Valemount","NDP(BC)",4717,27.0392662654056,"BC"
"208","Prince George-Valemount",NA,428,2.45342505015764,"BC"
"209","Richmond North Centre","BCG",1333,8.90328613411702,"BC"
"210","Richmond North Centre","BCU",7675,51.2623563986107,"BC"
"211","Richmond North Centre","NDP(BC)",5964,39.8343574672722,"BC"
"212","Richmond South Centre","BCU",6564,49.3274216577741,"BC"
"213","Richmond South Centre","NDP(BC)",6743,50.6725783422259,"BC"
"214","Richmond-Queensborough","BCG",1496,7.57928868173067,"BC"
"215","Richmond-Queensborough","BCU",7728,39.1529030296889,"BC"
"216","Richmond-Queensborough","NDP(BC)",9406,47.6542709494376,"BC"
"217","Richmond-Queensborough","BCC",1108,5.61353733914277,"BC"
"218","Richmond-Steveston","BCU",9398,45.5903754729795,"BC"
"219","Richmond-Steveston","NDP(BC)",10733,52.0665567090327,"BC"
"220","Richmond-Steveston",NA,483,2.34306781798778,"BC"
"221","Saanich North and the Islands","BCG",17897,51.9747923563919,"BC"
